# columns:
# cstat, diff, n_index, index, n_norm, norm 
 542.00 1.7389 18 1.6120 6 0.00094800
 541.90 1.6379 19 1.6210 6 0.00094800
 541.83 1.5680 20 1.6300 6 0.00094800
 541.79 1.5287 21 1.6390 6 0.00094800
 541.78 1.5200 22 1.6480 6 0.00094800
 541.81 1.5414 23 1.6570 6 0.00094800
 541.86 1.5929 24 1.6660 6 0.00094800
 541.94 1.6740 25 1.6750 6 0.00094800
 542.05 1.7845 26 1.6840 6 0.00094800
 542.19 1.9243 27 1.6930 6 0.00094800
 542.36 2.0930 28 1.7020 6 0.00094800
 542.55 2.2904 29 1.7110 6 0.00094800
 542.78 2.5164 30 1.7200 6 0.00094800
 543.03 2.7705 31 1.7290 6 0.00094800
 543.32 3.0527 32 1.7380 6 0.00094800
 543.63 3.3626 33 1.7470 6 0.00094800
 543.96 3.7002 34 1.7560 6 0.00094800
 544.33 4.0650 35 1.7650 6 0.00094800
 544.72 4.4570 36 1.7740 6 0.00094800
 545.14 4.8760 37 1.7830 6 0.00094800
 545.59 5.3217 38 1.7920 6 0.00094800
 546.06 5.7939 39 1.8010 6 0.00094800
 546.56 6.2923 40 1.8100 6 0.00094800
 547.08 6.8162 41 1.8190 6 0.00094800
 547.63 7.3655 42 1.8280 6 0.00094800
 548.20 7.9400 43 1.8370 6 0.00094800
 548.80 8.5395 44 1.8460 6 0.00094800
 549.43 9.1637 45 1.8550 6 0.00094800
 550.08 9.8126 46 1.8640 6 0.00094800
 550.75 10.486 47 1.8730 6 0.00094800
 551.45 11.184 48 1.8820 6 0.00094800
 552.17 11.905 49 1.8910 6 0.00094800
 552.92 12.651 50 1.9000 6 0.00094800
 552.27 12.010 50 1.9000 7 0.00095600
 551.54 11.272 49 1.8910 7 0.00095600
 550.82 10.559 48 1.8820 7 0.00095600
 550.13 9.8695 47 1.8730 7 0.00095600
 549.47 9.2049 46 1.8640 7 0.00095600
 548.83 8.5649 45 1.8550 7 0.00095600
 548.21 7.9498 44 1.8460 7 0.00095600
 547.62 7.3597 43 1.8370 7 0.00095600
 547.06 6.7948 42 1.8280 7 0.00095600
 546.52 6.2553 41 1.8190 7 0.00095600
 546.01 5.7414 40 1.8100 7 0.00095600
 545.52 5.2535 39 1.8010 7 0.00095600
 545.06 4.7921 38 1.7920 7 0.00095600
 544.62 4.3574 37 1.7830 7 0.00095600
 544.21 3.9498 36 1.7740 7 0.00095600
 543.83 3.5692 35 1.7650 7 0.00095600
 543.48 3.2161 34 1.7560 7 0.00095600
 543.15 2.8906 33 1.7470 7 0.00095600
 542.86 2.5928 32 1.7380 7 0.00095600
 542.59 2.3232 31 1.7290 7 0.00095600
 542.35 2.0817 30 1.7200 7 0.00095600
 542.13 1.8688 29 1.7110 7 0.00095600
 541.95 1.6846 28 1.7020 7 0.00095600
 541.79 1.5294 27 1.6930 7 0.00095600
 541.67 1.4033 26 1.6840 7 0.00095600
 541.57 1.3068 25 1.6750 7 0.00095600
 541.50 1.2399 24 1.6660 7 0.00095600
 541.47 1.2030 23 1.6570 7 0.00095600
 541.46 1.1963 22 1.6480 7 0.00095600
 541.48 1.2201 21 1.6390 7 0.00095600
 541.54 1.2747 20 1.6300 7 0.00095600
 541.62 1.3602 19 1.6210 7 0.00095600
 541.74 1.4771 18 1.6120 7 0.00095600
 541.89 1.6256 17 1.6030 7 0.00095600
 542.07 1.8059 16 1.5940 7 0.00095600
 542.28 2.0183 15 1.5850 7 0.00095600
 542.53 2.2633 14 1.5760 7 0.00095600
 542.80 2.5409 13 1.5670 7 0.00095600
 543.12 2.8516 12 1.5580 7 0.00095600
 543.46 3.1957 11 1.5490 7 0.00095600
 543.84 3.5734 10 1.5400 7 0.00095600
 544.25 3.9852 9 1.5310 7 0.00095600
 544.70 4.4312 8 1.5220 7 0.00095600
 545.18 4.9119 7 1.5130 7 0.00095600
 545.69 5.4276 6 1.5040 7 0.00095600
 546.24 5.9786 5 1.4950 7 0.00095600
 546.83 6.5652 4 1.4860 7 0.00095600
 547.45 7.1879 3 1.4770 7 0.00095600
 548.11 7.8469 2 1.4680 7 0.00095600
 548.81 8.5426 1 1.4590 7 0.00095600
 549.54 9.2755 0 1.4500 7 0.00095600
 549.66 9.3964 0 1.4500 8 0.00096400
 548.91 8.6423 1 1.4590 8 0.00096400
 548.19 7.9257 2 1.4680 8 0.00096400
 547.51 7.2461 3 1.4770 8 0.00096400
 546.87 6.6031 4 1.4860 8 0.00096400
 546.26 5.9965 5 1.4950 8 0.00096400
 545.69 5.4259 6 1.5040 8 0.00096400
 545.15 4.8909 7 1.5130 8 0.00096400
 544.65 4.3911 8 1.5220 8 0.00096400
 544.19 3.9263 9 1.5310 8 0.00096400
 543.76 3.4962 10 1.5400 8 0.00096400
 543.36 3.1003 11 1.5490 8 0.00096400
 543.00 2.7383 12 1.5580 8 0.00096400
 542.67 2.4101 13 1.5670 8 0.00096400
 542.38 2.1151 14 1.5760 8 0.00096400
 542.12 1.8533 15 1.5850 8 0.00096400
 541.89 1.6241 16 1.5940 8 0.00096400
 541.69 1.4274 17 1.6030 8 0.00096400
 541.53 1.2628 18 1.6120 8 0.00096400
 541.39 1.1300 19 1.6210 8 0.00096400
 541.29 1.0289 20 1.6300 8 0.00096400
 541.22 0.95900 21 1.6390 8 0.00096400
 541.18 0.92015 22 1.6480 8 0.00096400
 541.18 0.91205 23 1.6570 8 0.00096400
 541.20 0.93443 24 1.6660 8 0.00096400
 541.25 0.98704 25 1.6750 8 0.00096400
 541.33 1.0696 26 1.6840 8 0.00096400
 541.45 1.1819 27 1.6930 8 0.00096400
 541.59 1.3237 28 1.7020 8 0.00096400
 541.76 1.4946 29 1.7110 8 0.00096400
 541.96 1.6946 30 1.7200 8 0.00096400
 542.19 1.9233 31 1.7290 8 0.00096400
 542.44 2.1805 32 1.7380 8 0.00096400
 542.73 2.4660 33 1.7470 8 0.00096400
 543.04 2.7795 34 1.7560 8 0.00096400
 543.38 3.1209 35 1.7650 8 0.00096400
 543.75 3.4899 36 1.7740 8 0.00096400
 544.15 3.8863 37 1.7830 8 0.00096400
 544.57 4.3100 38 1.7920 8 0.00096400
 545.02 4.7606 39 1.8010 8 0.00096400
 545.50 5.2379 40 1.8100 8 0.00096400
